MATCH|CLUB|PLAYER|CARD|INFO
3546473|10492|592364|Y|Foul
3546473|28022|672292|Y|Foul
3546473|10492|726005|Y|Dissent
3546467|221|74758|Y|Foul
3546467|10010|689737|Y|Foul
3546467|10010|741021|Y|Foul
3546467|221|167825|Y|Null
3546467|221|347913|Y|Foul
3546467|10010|212114|Y|Foul
3546466|585|225617|Y|Dissent
3546466|2462|76608|Y|Foul
3546466|2462|346935|Y|Null
3546470|330|385271|Y|Foul
3546470|10870|189682|Y|Dissent
3546470|10870|51716|Y|Dissent
3546470|330|341701|Y|Dissent
3546470|10870|344626|Y|Foul
3546470|10870|607854|Y|Foul
3546464|1023|439072|Y|Foul
3546464|1023|737821|Y|Foul
3546464|1023|674732|Y|Foul
3546464|614|172054|Y|Foul
3546464|614|213605|Y|Time wasting
3546471|210|346922|Y|Foul
3546471|210|32568|Y|Null
3546471|2029|401539|Y|Foul
3546471|2029|375242|Y|Dissent
3546471|2029|486078|Y|Foul
3546471|210|711338|Y|Foul
3546468|17776|227986|Y|Foul
3546469|199|725049|Y|Foul
3546469|15172|538107|Y|Foul
3546469|15172|364972|Y|Null
3546469|199|97507|Y|Null
3546469|199|258070|Y|Foul
3546469|199|403148|Y|Null
3546469|15172|440652|Y|Null
3546469|199|313106|Y|Foul
3546472|679|149572|Y|Null
3546472|2863|539183|Y|Foul
3546472|2863|476336|Y|Foul
3546465|6600|368468|Y|Dissent
3546465|6600|678439|Y|Foul
3546465|8718|362835|Y|Foul
3546465|6600|605893|Y|Foul
3546465|6600|571219|Y|Foul
3546465|8718|292152|Y|Foul
3546476|585|552240|Y|Null
3546476|15172|322588|Y|Foul
3546476|585|403296|Y|Null
3546476|15172|538107|Y|Foul
3546476|15172|727853|Y|Foul
3546476|15172|670940|Y|Foul
3546476|585|225617|Y|Null
3546476|585|468304|Y|Null
3546476|585|227671|Y|Dissent
3546478|8793|538978|Y|Null
3546478|10010|378975|Y|Null
3546478|10010|686332|Y|Null
3546478|8793|612162|Y|Foul
3546478|10010|346870|Y|Foul
3546478|10010|555018|Y|Foul
3546479|221|76100|Y|Foul
3546479|221|167825|Y|Foul
3546479|2029|742855|Y|Foul
3546479|221|347913|Y|Foul
3546481|28022|392809|Y|Foul
3546481|2462|815558|Y|Foul
3546481|2462|346935|Y|Null
3546474|2863|294804|Y|Foul
