CLUB|NAME|LOGO
28022|Cuiaba Esporte Clube Mt|https://tmssl.akamaized.net/images/wappen/normquad/28022.png
10492|Esporte Clube Juventude|https://tmssl.akamaized.net/images/wappen/normquad/10492.png
10010|Esporte Clube Bahia|https://tmssl.akamaized.net/images/wappen/normquad/10010.png
221|Santos Fc|https://tmssl.akamaized.net/images/wappen/normquad/221.png
585|Sao Paulo Futebol Clube|https://tmssl.akamaized.net/images/wappen/normquad/585.png
2462|Fluminense Football Club|https://tmssl.akamaized.net/images/wappen/normquad/2462.png
330|Clube Atletico Mineiro|https://tmssl.akamaized.net/images/wappen/normquad/330.png
10870|Fortaleza Esporte Clube|https://tmssl.akamaized.net/images/wappen/normquad/10870.png
614|Clube De Regatas Do Flamengo|https://tmssl.akamaized.net/images/wappen/normquad/614.png
1023|Sociedade Esportiva Palmeiras|https://tmssl.akamaized.net/images/wappen/normquad/1023.png
2029|Ceara Sporting Club|https://tmssl.akamaized.net/images/wappen/normquad/2029.png
210|Gremio Football Porto Alegrense|https://tmssl.akamaized.net/images/wappen/normquad/210.png
17776|Associacao Chapecoense De Futebol|https://tmssl.akamaized.net/images/wappen/normquad/17776.png
8793|Red Bull Bragantino|https://tmssl.akamaized.net/images/wappen/normquad/8793.png
199|Sport Club Corinthians Paulista|https://tmssl.akamaized.net/images/wappen/normquad/199.png
15172|Atletico Clube Goianiense|https://tmssl.akamaized.net/images/wappen/normquad/15172.png
679|Club Athletico Paranaense|https://tmssl.akamaized.net/images/wappen/normquad/679.png
2863|America Futebol Clube Mg|https://tmssl.akamaized.net/images/wappen/normquad/2863.png
6600|Sport Club Internacional|https://tmssl.akamaized.net/images/wappen/normquad/6600.png
8718|Sport Club Do Recife|https://tmssl.akamaized.net/images/wappen/normquad/8718.png
