MATCH|MATCHDAY|DATE|TIME|GROUND|REFEREE|STYLE
3546473|1. Matchday|30/05/2021|00:00:00|Arena Pantanal|Denis Ribeiro Serafim|Normal
3546467|1. Matchday|30/05/2021|01:00:00|Estadio Governador Roberto Santos|Bruno Arleu De Araujo|Normal
3546466|1. Matchday|30/05/2021|02:00:00|Estadio Cicero Pompeu De Toledo|Rodolpho Toski Marques|Normal
3546470|1. Matchday|30/05/2021|16:00:00|Estadio Governador Magalhaes Pinto|Caio Max Augusto Vieira|Normal
3546464|1. Matchday|30/05/2021|21:00:00|Estadio Jornalista Mario Filho|Anderson Daronco|Normal
3546471|1. Matchday|30/05/2021|21:00:00|Estadio Governador Placido Castelo|Savio Pereira Sampaio|Normal
3546468|1. Matchday|30/05/2021|23:15:00|Arena Conda|Marielson Alves Silva|Normal
3546469|1. Matchday|30/05/2021|23:15:00|Neo Quimica Arena|Felipe Fernandes|Normal
3546472|1. Matchday|30/05/2021|23:15:00|Arena Da Baixada|Jefferson Ferreira Moraes|Normal
3546465|1. Matchday|31/05/2021|01:30:00|Estadio Beirario|Vinicius Goncalves Dias Araujo|Normal
3546476|2. Matchday|06/06/2021|00:00:00|Estadio Antonio Accioly|Diego Pombo Lopez|Normal
3546478|2. Matchday|06/06/2021|02:00:00|Estadio Nabi Abi Chedid|Vinicius Gomes|Normal
3546479|2. Matchday|06/06/2021|02:00:00|Estadio Urbano Caldeira|Jean Pierre Goncalves Lima|Normal
3546481|2. Matchday|06/06/2021|16:00:00|Estadio Sao Januario|Edina Alves Batista|Normal
3546474|2. Matchday|06/06/2021|21:00:00|Estadio Raimundo Sampaio|Marcelo De Lima Henrique Rj|Normal
3546483|2. Matchday|06/06/2021|21:00:00|Estadio Governador Placido Castelo|Paulo Roberto Alves Junior|Normal
3546475|2. Matchday|06/06/2021|23:15:00|Estadio Alfredo Jaconi|Paulo Cesar Zanovelli|Normal
3546480|2. Matchday|06/06/2021|23:15:00|Allianz Parque|Leo Simao Holanda|Normal
3546477|2. Matchday|07/06/2021|01:30:00|Estadio Adelmar Da Costa Carvalho|Raphael Claus|Normal
3546482|2. Matchday|24/11/2021|01:00:00|Arena Do Gremio|Braulio Da Silva Machado|Normal
3571593|3. Matchday|13/06/2021|00:00:00|Allianz Parque|Flavio Rodrigues De Souza|Normal
3571594|3. Matchday|13/06/2021|00:00:00|Estadio Urbano Caldeira|Alexandre Vargas Tavares|Normal
3571595|3. Matchday|13/06/2021|21:00:00|Estadio Governador Magalhaes Pinto|Anderson Daronco|Normal
3571596|3. Matchday|13/06/2021|21:00:00|Arena Do Gremio|Ricardo Marques Ribeiro Mg|Normal
