MATCH|CLUB|GS|GA|GD|PT|PEN|HOME_AWAY
3546473|28022|2|2|0|1|Null|H
3546473|10492|2|2|0|1|Null|A
3546467|10010|3|0|3|3|Null|H
3546467|221|0|3|-3|0|Null|A
3546466|585|0|0|0|1|Null|H
3546466|2462|0|0|0|1|Null|A
3546470|330|1|2|-1|0|Null|H
3546470|10870|2|1|1|3|Null|A
3546464|614|1|0|1|3|Null|H
3546464|1023|0|1|-1|0|Null|A
3546471|2029|3|2|1|3|Null|H
3546471|210|2|3|-1|0|Null|A
3546468|17776|0|3|-3|0|Null|H
3546468|8793|3|0|3|3|Null|A
3546469|199|0|1|-1|0|Null|H
3546469|15172|1|0|1|3|Null|A
3546472|679|1|0|1|3|Null|H
3546472|2863|0|1|-1|0|Null|A
3546465|6600|2|2|0|1|Null|H
3546465|8718|2|2|0|1|Null|A
3546476|15172|2|0|2|3|Null|H
3546476|585|0|2|-2|0|Null|A
3546478|8793|3|3|0|1|Null|H
3546478|10010|3|3|0|1|Null|A
3546479|221|3|1|2|3|Null|H
3546479|2029|1|3|-2|0|Null|A
3546481|2462|1|0|1|3|Null|H
3546481|28022|0|1|-1|0|Null|A
3546474|2863|0|1|-1|0|Null|H
3546474|199|1|0|1|3|Null|A
3546483|10870|5|1|4|3|Null|H
3546483|6600|1|5|-4|0|Null|A
3546475|10492|0|3|-3|0|Null|H
3546475|679|3|0|3|3|Null|A
3546480|1023|3|1|2|3|Null|H
3546480|17776|1|3|-2|0|Null|A
3546477|8718|0|1|-1|0|Null|H
3546477|330|1|0|1|3|Null|A
3546482|210|2|2|0|1|Null|H
3546482|614|2|2|0|1|Null|A
3571593|1023|1|1|0|1|Null|H
3571593|199|1|1|0|1|Null|A
3571594|221|0|0|0|1|Null|H
3571594|10492|0|0|0|1|Null|A
3571595|330|1|0|1|3|Null|H
3571595|585|0|1|-1|0|Null|A
3571596|210|0|1|-1|0|Null|H
3571596|679|1|0|1|3|Null|A
3571600|614|2|0|2|3|Null|H
