MATCH|CLUB|PLAYER|ENTRY|INFO
3546473|28022|347100|G|Right-footed shot
3546473|10492|166483|G|Counter attack goal
3546473|10492|518361|G|Right-footed shot
3546473|28022|41052|G|Header
3546473|28022|392809|A|Pass
3546473|10492|435253|A|Pass
3546473|28022|742025|A|Cross
3546467|10010|392487|G|Right-footed shot
3546467|10010|392487|G|Right-footed shot
3546467|10010|383638|G|Header
3546467|10010|212114|A|Pass
3546467|10010|212114|A|Pass
3546467|10010|418530|A|Corner
3546470|330|80562|G|Penalty
3546470|10870|265660|G|Right-footed shot
3546470|10870|265660|G|Counter attack goal
3546470|10870|161188|A|Pass
3546470|10870|373189|A|Pass
3546464|614|432895|G|Right-footed shot
3546464|614|353108|A|Pass
3546471|2029|645600|G|Right-footed shot
3546471|2029|645955|G|Left-footed shot
3546471|210|789082|G|Right-footed shot
3546471|210|868887|G|Counter attack goal
3546471|2029|155470|G|Right-footed shot
3546471|2029|553727|A|Pass
3546471|2029|646679|A|Pass
3546471|210|552549|A|Pass
3546471|210|468320|A|Cross
3546468|8793|70784|G|Right-footed shot
3546468|8793|270188|G|Header
3546468|8793|412365|G|Left-footed shot
3546468|8793|432773|A|Cross
3546468|8793|614328|A|Cross
3546468|8793|270188|A|Pass
3546469|15172|305428|G|Right-footed shot
3546469|15172|519854|A|Pass
3546472|679|363794|G|Right-footed shot
3546472|679|261309|A|Pass
3546465|6600|169052|G|Penalty
3546465|6600|186922|G|Header
3546465|8718|53262|G|Penalty
3546465|8718|104509|G|Right-footed shot
3546465|6600|169052|A|Corner
3546465|8718|840431|A|Pass
3546476|15172|375690|G|Header
3546476|15172|519854|G|Right-footed shot
3546476|15172|322588|A|Cross
3546476|15172|322588|A|2. Assist of the Season
3546478|10010|164013|G|Header
3546478|10010|164013|G|Right-footed shot
3546478|8793|440658|G|Right-footed shot
3546478|8793|432166|G|Header
3546478|8793|503052|G|Right-footed shot
3546478|10010|346870|G|Right-footed shot
3546478|10010|741021|A|Cross
3546478|8793|70784|A|Pass
3546478|8793|440658|A|Corner
3546478|8793|538978|A|Pass
3546478|10010|164013|A|Pass
3546479|221|215212|G|Left-footed shot
3546479|2029|106281|G|Penalty
3546479|221|74758|G|Left-footed shot
3546479|221|620477|G|Header
3546479|221|255989|A|Pass
3546479|221|813107|A|Corner
3546481|2462|875328|G|Left-footed shot
3546481|2462|346935|A|Cross
3546474|199|13835|G|Penalty
3546483|10870|55250|G|Left-footed shot
3546483|10870|161188|G|Header
3546483|10870|265660|G|Right-footed shot
3546483|6600|670968|G|Own-goal
3546483|6600|574765|G|Header
3546483|10870|51716|G|Header
3546483|10870|344626|A|Cross
3546483|10870|273442|A|Pass
3546483|6600|368468|A|Cross
3546483|10870|689521|A|Cross
3546475|679|29261|G|Header
3546475|679|29261|G|Right-footed shot
3546475|679|149572|G|Left-footed shot
3546475|679|432967|A|Cross
3546475|679|788861|A|Pass
3546475|679|261309|A|Pass
3546480|1023|674732|G|Right-footed shot
3546480|1023|48974|G|Header
3546480|1023|674732|G|Counter attack goal
3546480|17776|698742|G|Direct free kick
3546480|1023|330085|A|Pass
3546477|330|80562|G|Left-footed shot
3546477|330|480774|A|Pass
3546482|614|213605|G|Left-footed shot
3546482|614|213605|G|Counter attack goal
3546482|210|211397|G|Right-footed shot
3546482|210|689017|G|Right-footed shot
3546482|614|575373|A|1. Assist of the Season
3546482|614|281404|A|Pass
3546482|210|689017|A|4. Assist of the Season
3546482|210|211397|A|Pass
3571593|1023|432953|G|Left-footed shot
3571593|199|213606|G|Right-footed shot
3571593|1023|674732|A|Pass
3571593|199|636314|A|Pass
3571595|330|239294|G|Right-footed shot
3571595|330|338861|A|Cross
3571596|679|788861|G|Right-footed shot
3571596|679|432967|A|Pass
3571600|614|353108|G|Counter attack goal
3571600|614|735571|G|Right-footed shot
3571600|614|213605|A|Pass
3571600|614|213605|A|Pass
3571597|8793|270188|G|Right-footed shot
3571597|8793|440658|G|Left-footed shot
3571597|2462|601011|G|Header
3571597|2462|76608|G|Penalty
3571597|8793|70784|A|Pass
3571597|8793|70784|A|Pass
3571597|2462|51356|A|1. Assist of the Season
3571598|6600|169052|G|Penalty
3571599|10870|51716|G|Penalty
3571602|28022|606716|G|Right-footed shot
3571602|15172|519851|G|Right-footed shot
3571602|28022|41052|G|Header
3572009|585|37418|G|Header
3572009|17776|592342|G|Header
3572009|585|282544|A|Cross
3572009|17776|432957|A|Pass
3572010|330|294798|G|Right-footed shot
3572010|330|80562|A|Pass
3572011|199|725049|G|Right-footed shot
3572011|8793|101506|G|Header
3572011|8793|614328|G|Right-footed shot
3572011|199|636314|A|Cross
3572011|8793|440658|A|Corner
3572012|10492|75058|G|Own-goal
3572012|1023|243541|G|Header
3572012|1023|542598|G|Right-footed shot
3572012|1023|330085|A|Corner
3572012|1023|330085|A|Pass
3572017|2029|553727|G|Counter attack goal
3572017|10010|164013|G|Penalty
3572017|10010|164013|G|Right-footed shot
3572017|2029|155470|A|Pass
3572017|10010|741021|A|Pass
3572014|8718|353722|G|Direct free kick
3572015|2462|29091|G|Left-footed shot
3572013|614|244275|G|Right-footed shot
3572013|614|244275|G|Left-footed shot
3572013|679|404321|G|Right-footed shot
3572013|679|553458|G|Header
3572013|614|43722|A|Pass
3572013|679|149572|A|Corner
3572020|8793|101506|G|Right-footed shot
3572020|614|735571|G|Left-footed shot
3572020|614|735571|G|Right-footed shot
3572020|8793|614328|G|Header
3572020|8793|595168|G|Header
3572020|8793|412365|A|Cross
3572020|614|520392|A|1. Assist of the Season
3572020|614|594226|A|Cross
3572020|8793|440658|A|Pass
3572021|2863|401532|G|Left-footed shot
3572021|1023|55338|G|Header
3572021|1023|55338|G|Right-footed shot
3572021|1023|330085|A|Cross
3572021|1023|48974|A|Pass
3572022|6600|169052|G|Penalty
3572022|2029|387611|G|Direct free kick
3572019|221|74758|G|Right-footed shot
3572019|221|813107|G|Right-footed shot
3572019|221|215212|A|Pass
3572019|221|620477|A|Pass
3572024|15172|552242|G|Left-footed shot
3572024|679|788861|G|Header
3572024|679|658678|G|Header
3572024|679|432967|A|Cross
3572024|679|646402|A|Cross
3572025|2462|601011|G|Right-footed shot
3572025|10870|161188|G|Left-footed shot
3572025|2462|520454|A|Pass
3572025|10870|265660|A|Pass
3572027|10492|518361|G|Right-footed shot
3572028|330|364261|G|Right-footed shot
3572028|17776|390370|G|Penalty
3572028|330|338861|A|Pass
3572026|210|211397|G|Penalty
3580694|614|353108|G|Right-footed shot
3580694|614|353108|G|Right-footed shot
3580694|10870|373189|G|Right-footed shot
3580694|614|432895|A|Pass
3580694|10870|607854|A|Pass
3580695|15172|440652|G|Header
3580695|15172|401534|A|Corner
3580696|8793|70784|G|Left-footed shot
3580696|8793|70784|G|Left-footed shot
3580696|1023|542598|G|Right-footed shot
3580696|8793|70784|G|Right-footed shot
3580696|8793|412365|A|Pass
3580696|1023|234538|A|Cross
3580696|8793|440658|A|4. Assist of the Season
3580698|585|189418|G|Right-footed shot
